round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.4590431952093778,0.7426010370254517,0.4546371236358421,0.7437189,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.45638466593566884,0.7431565523147583,0.4537353096838069,0.7441915,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.4535188985877645,0.7451515197753906,0.4531240700035162,0.74583334,relu,2,0.0,None,5,8,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.45450309105935627,0.740176796913147,0.4544684265059711,0.7446393,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.4565138889542695,0.7442424297332764,0.45497765969181253,0.7428856,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.46190143324681027,0.7399242520332336,0.45606168843641676,0.7430597,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.45707353815458285,0.7421464920043945,0.4547038283100505,0.74380594,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.457498050244541,0.741919219493866,0.45523569381960194,0.7431343,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.45674705760889517,0.741919219493866,0.45281485422599926,0.7453607,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.45524876677369835,0.7387121319770813,0.4537697496493989,0.7453856,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.45330043205177223,0.7450504899024963,0.4539834220003081,0.7443408,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.45680825388512575,0.7435606122016907,0.454880300963727,0.7437811,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.4565356457748672,0.7438889145851135,0.4528553832047792,0.74532336,relu,2,0.0,None,5,8,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.45575005586767803,0.7451515197753906,0.45257622949219617,0.7466542,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.4552573239221571,0.7432070970535278,0.452398665766035,0.74616915,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
